Comment,Designator,Footprint,LCSC
1N4148W,"D1,D2,D3,D4",Diode_SMD:D_SOD-123,C81598
Screw_Terminal_01x03_green,J1,0_connectors:TerminalBlock_bornier-3_P5.08mm-green,C395850
Screw_Terminal_01x03_blue,"J2,J3,J4,J5",0_connectors:TerminalBlock_bornier-3_P5.08mm-blue,C430620
HFD2-012-M-L2,"K1,K2",0_relays:Relay_DPDT_HFD2-xxx-M-L2,C399484
270,R1,Resistor_SMD:R_0805_2012Metric,C17590
